id,text,author,trackType,presentationMode,categories
04c035a3-5348-4e94-ad84-470bcc870c13,"It is easy to find peace if you are kind, loving, and forgiving.",Debasish Mridha,hope,textOverlay,Mindfulness|Connection
ac86dfea-18e5-4283-a589-9888084d56c5,"Within the 24 hours, make some time for your own work.","Lailah Gifty Akita, Think Great: Be Great!",hope,textOverlay,Purpose|Connection|Growth
8931524c-b015-4a61-acd5-8d094575eee4,"We must seek together to address the good aspirations of people everywhere, for we are bound together through great commonality.","Bryant McGill, Voice of Reason",hope,textOverlay,Possibility|Connection|Purpose
5f7e4976-58d7-44a0-b4a3-a16e4e492abb,Mother is a verb. It's something you do. Not just who you are.,"Cheryl Lacey Donovan, The Ministry of Motherhood",hope,textOverlay,Self-Worth
287adbc1-eef1-445d-90ad-8cba96aaaa2d,May you find the strength of will and the grace of endurance to overcome every challenge.,"Lailah Gifty Akita, Think Great: Be Great!",hope,textOverlay,Resilience|Agency|Possibility
9a423cc9-8423-4a8a-9eb4-19442b0232ab,"They say that ""A friend in need is a friend indeed"" but what if you don't find one when you need one.",Neetesh Dixit,hope,textOverlay,Connection|Growth
2425d3ef-2f49-4d03-b7b5-b14fb199b2b6,The unconscious mind is a vast repository of experiences and associations that sorts things out much faster than the slow-moving conscious mind.,"Sharon Salzberg, Real Love: The Art of Mindful Connection",hope,textOverlay,Mindfulness|Connection
47e53551-d192-4efc-accb-0b9c515eacff,"The moon is very charming, alluring, attracting and magical, not because of its beauty, but because of its illusion and reflection of change.",Debasish Mridha,hope,textOverlay,Growth|Possibility|Connection
5c8dabfd-4137-45ec-976e-c837bbc4616c,Allow yourself to enjoy each happy moment in your life.,Steve Maraboli,hope,textOverlay,Self-Worth|Connection
89c5ab99-78f9-4b6f-b6bf-81ee7a4416ca,Our own self-esteem is something we can actually twist in whatever way we want.,"Stephen Richards, Boost Your Self Esteem",hope,textOverlay,Agency|Self-Worth|Connection
07f4f598-abea-4e82-8544-e9702ec39475,Every successful man knows what a persevering life it was to achieve his goal.,"Lailah Gifty Akita, Pearls of  Wisdom: Great  mind",hope,textOverlay,Agency|Resilience|Possibility
318891b1-3c5f-4108-93c5-0a23be11b8e9,"The moon is the lighthouse of love, and as changing as a woman's mind.",Debasish Mridha,hope,textOverlay,Growth|Possibility|Connection
e245996a-87d8-40cf-95ae-64665223442e,"There is a depth to life which only comes from our connection to other people. However, we have to find it without becoming a prisoner.","Donna Goddard, Waldmeer",hope,textOverlay,Connection|Growth
6b863862-2efe-4a9f-85a1-118c37092c43,A vision is a promise of the future as seen in the present.,Mensah Oteh,hope,textOverlay,Possibility|Growth|Connection
e1998605-57a0-4387-b01f-ac86e994d714,There is also hope that even in these days of increasing specialization there is a unity in the human experience.,Allan McLeod Cormack,hope,textOverlay,Growth|Possibility|Connection
fd2dd57b-8c4a-4c5c-8f83-6f3f4f392d1a,The principles you know determines what you get,Sunday Adelaja,hope,textOverlay,Mindfulness|Growth
